"timestamp","site_name","node_id","CL","TNL"
"2016-05-25 02:00:00","gamt",1,"l2","l0"
"2016-05-25 01:30:00","martb",1,"l2","l2"
"2016-05-25 01:00:00","mngtb",1,"l2","l2"
"2016-05-25 01:00:00","martb",1,"l2","l0"
"2016-05-25 00:30:00","pinta",1,"l2","l0"
"2016-05-25 00:30:00","mngtb",1,"l2","l2"
"2016-05-25 00:30:00","martb",1,"l2","l0"
"2016-05-25 00:00:00","sibta",1,"l2","l0"
"2016-05-25 00:00:00","mngtb",1,"l2","l0"
"2016-05-25 00:00:00","martb",1,"l2","l0"
"2016-05-25 00:00:00","magtb",1,"l2","l2"
"2016-05-24 23:30:00","sibta",1,"l2","l0"
"2016-05-24 23:30:00","mngtb",1,"l2","l0"
"2016-05-24 23:30:00","magtb",1,"l2","l0"
"2016-05-24 23:00:00","umita",1,"l2","l2"
"2016-05-24 23:00:00","mngtb",1,"l2","l0"
"2016-05-24 23:00:00","magtb",1,"l2","l0"
"2016-05-24 22:30:00","umita",1,"l2","l0"
"2016-05-24 22:30:00","marta",1,"l2","l2"
"2016-05-24 22:30:00","magtb",1,"l2","l0"
"2016-05-24 22:30:00","laysa",1,"l2","l0"
"2016-05-24 22:30:00","labb",1,"l2","l0"
"2016-05-24 22:00:00","umita",1,"l2","l0"
"2016-05-24 22:00:00","marta",1,"l2","l0"
"2016-05-24 22:00:00","laysa",1,"l2","l0"
"2016-05-24 22:00:00","labb",1,"l2","l0"
"2016-05-24 21:30:00","umita",1,"l2","l0"
"2016-05-24 21:30:00","marta",1,"l2","l0"
"2016-05-24 21:30:00","laysa",1,"l2","l0"
"2016-05-24 21:30:00","labb",1,"l2","l0"
"2016-05-24 21:00:00","baktc",1,"l2","l0"
"2016-05-24 20:30:00","nagtb",1,"l2","l0"
"2016-05-24 20:30:00","marta",1,"l2","l0"
"2016-05-24 20:30:00","baktc",1,"l2","l0"
"2016-05-24 20:00:00","imeta",1,"l2","l0"
"2016-05-24 19:00:00","hinsa",1,"l2","l0"
"2016-05-24 19:00:00","gamt",1,"l2","l2"
"2016-05-24 18:30:00","humb",1,"l2","l0"
"2016-05-24 18:30:00","gamt",1,"l2","l2"
